rating,date,coment_title,coment_description
5,11 marzo 2018,Muy hermoso!,"Todo el viaje en el Lago fue muy hermoso y relajante. El paisaje, en general, es cautivador. 100% recomendado!"
5,5 marzo 2018,Muy lindo,"Muy lindo lugar, muy limpia el agua, desde Puno salen botes todos los dias para navegar o ir a las distintas islas, y es economico."
5,4 marzo 2018,Vacaciones,Una maravilla de la naturaleza la cual puedas recorrer en lancha ahí tú Por 70 soles que te llevan a las lagunas flotantes de totora de los uros a la isla de taquile y dura aproximadamente unas 5 horas todo el trayecto puedes apreciar la...Más
5,4 marzo 2018,EXPERIENCIA FASCINANTE,"Viajar por el lago sagrado de los incas fue una experiencia maravillosa. La belleza de sus aguas profundas, sus islas, su gente, sus costumbres, su comida, me agradó bastante. Me quedaron ganas de volver."
5,25 febrero 2018,La mejor forma de despedirse de Bolivia e ingresar a Perú,"Estuve en el Lago el lado boliviano -Copacabana- en la Isla del Sol y del lado peruano -Puno. Las tres experiencias fueron diferentes y maravillosas, y valen la pena."
4,24 febrero 2018,Bonito lugar,"Aguas turquesas y limpias. Es un lindo lugar para tomar buenas fotografías.
No olvidar visitar los uros y la isla de Taquile."
5,20 febrero 2018,Lago Titicaca y su magia,"Viaje a puno y me di un salto para visitar el Lago.
Fue muy hermoso sentir la magia del lago más grande en el mundo.
Nuestro guía era divertido y amable.
Recomendable!!!"
4,12 febrero 2018,Lo mejor de nuestra visista a Peru,"En una lancha, cómoda con bar,/WC y camarote se vista las islas flotante y alguna otra firme. Se puede apreciar las diferentes culturas y costumbre."
5,10 febrero 2018,Vacaciones en pareja,"Este Lago es precioso, es el màs alto navegable que hay en el mundo. Sus aguas mansas toman el color del cielo. Tiene islas flotantes construídas por los nativos de la zona, llamada Uros; además de islas naturales como Taquiles.
Está a una altura de...Más"
4,8 febrero 2018,Lindo,Fuimos en un tour por las islas s/20 y nos llevaron a conocer a los Uros. Increíble comunidad y como viven es de no creer.
5,6 febrero 2018,EXCELENTE,"Fuimos y pagmos un tour que nos costo S/. 70.00 Soles por persona, nos llevaron del puerto a Uros y de Uros a la Isla Taquile con almuerzo incluido, el lago es algo impresionante queriamos conocer el lago navegable mas alto del mundo y quedamos...Más"
5,5 febrero 2018,Increíble!!! ,"Si llegas a Puno debes de ir a la Isla de Los Uros y Taquile, ambas ubicadas en el lago Titicaca. En 1 día puedes conocer ambas!!"
4,3 febrero 2018,Pintoresco,Muy pintoresco ..con muchas ofertas de paseo. Hay muchos hoteles de cadenas grandes alrededor. En el puerto hay muchos restaurantes ( pero nos cayó mal la comida..no es muy recomendable ) .Hay tiendas de artesanias de todos los precios. Hay baños públicos q pagan S/....Más
5,31 enero 2018,Impresionante!,"Viajar por el Lago Titicaca es una experiencia increíble. A través del Lago, podes visitar varias islas, como Uros y Taquile entre otras."
5,31 enero 2018,UN LAGO ÚNICO POR LA ALTURA,"Es un lago con islas; flotantes y de tierra, me encanto las islas flotantes que son construidas los los Uros y son lugares muy especiales, viven en parejas y sus cabañas son construidas con los mismos materiales que sus pisos de las islas como cañas...Más"
5,27 enero 2018,Lo mejor!!,"Una de mis mejores experiencias el paisaje es hermoso, la gente muy amable las costumbres en fin tienen que visitar el lago navegable a mayor altura del mundo. ;-)"
5,23 enero 2018,Immenso lago,"Es todo un misterio & aventura el recorrido por el lago titikaka, me gusto la Isla de los Uros , isla flotante con una comunidad muy afectuosa , su artesanía muy pintoresca , tambien Taquile enclavada en pleno lago domina una vista impresionante , es...Más"
5,22 enero 2018,maravillosas vistas,"la experiencia de visitar este lago es increible, la biodiversidad animal y la interculturalidad, valen la pena a pesar de la altura. Los paisajes maravillosos, el agua es muy fria!"
4,21 enero 2018,Preocupante,preocupante como un lugar tan hermoso los habitantes no les preocupe su contaminación cerca al puerto. y el mal olor que este despide despues de andar 1 hora es un paraiso
5,21 enero 2018,Extraordinario,"Navegar sobre sus aguas en lancha rápida, y conocer a las comunidades que lo habitan, es algo que no puedes dejar de hacer, si visitas Puno."
5,18 enero 2018,muy interesante,Al navegar y visitar los diferentes destinos turísticos a los que se puede llegar a través de el es una experiencia inolvidable
5,18 enero 2018,impresionante,"cuando llegue, lo unico que sabia es que es el lago mas alto del mundo, pero ademas de ser el mas alto es enorme. me encanto como construyen distintos tipos cosas con los juncos del lago. me gusto mas la parte de Chucuito, que es...Más"
5,16 enero 2018,Impresionante,Es una experiencia enriquecedora conocer la riqueza cultural de los grupos que habitan en las islas así como las islas flotantes de los UROS
5,15 enero 2018,Lago navegable más alto del mundo,Sin duda alguna el titicaca tienes que conocerlo por que uno solo piensa que es una pequeña parte pero no es así es mucho más es un lago mármol fui al mirador natural de pomata y su paisaje es fascinante hay muchas cosas por conocer...Más
5,13 enero 2018,Lago mar,"El lago titicaca es impresionante al llegar a puno solo se puede ver parte de la bahia de puno y uno puede pensar que es todo, pero si vas a la isla de taquile y haces la caminata hasta la plaza podras ver cuan grande...Más"
5,12 enero 2018,lago titicaca,La experiencia del lago fue muy bonita la visita a ka isla de los uros y la otra isla fue un día muy bonito y el paisaje maravilloso
5,11 enero 2018,Imponente y Asombroso,"El lago navegable más alto del mundo es una experiencia increible, navegar por el atardecer y ver el brillo del sol reflejado en el lago es alucinante como escena sacada de una película romántica, sin lugar a dudas volvería a Puno a surcar estas ancestrales...Más"
5,6 enero 2018,Hermoso ,Es un impedible en Puno el paseo por el lago y la visita a las islas flotantes vale la pena así como comer en la isla quechua
4,4 enero 2018,"vista impresionante, la costanera en año nuevo es magica","la visita al lago titicaca fue bastante buena, te lleva un bote del embarcadero a una de sus islas flotantes y luego puedes optar por subir a su mercedes benz( barco artesanal), recomiendo llevar bloqeador y agua, en las islas flotantes encontraras mucha magia"
5,29 diciembre 2017,Excelente!!!,"Bello, el viaje salió tal y cómo ofrecieron los del tour, están muy bien organizados, te recogen desde tú hotel a eso de las 7am te llevan al puerto y a embarcar, recorres 3 islas, por 60 soles, menos de 20€ tienes el bus al barco, recorrido a islas, Comida en una de ellas y retorno hasta la puerta de tú hotel. Llevar gorra, gafas, protector solar y repelente por si acaso. Este tour lo cojeis un día antes desde cualquier hotel."
4,29 diciembre 2017,El destino si vas a Puno,"Hice un recorrido de 4 dias 3 noches por varias islas del Lago, vayan preparados por el tema de altura, afecta a algunos como me paso."
5,28 diciembre 2017,"Historia, Cultura y Natulareza","La visita al Lago Titicaca permite conocer a sus visitantes las espectaculares dimensiones del lago navegable mas alto del mundo y la historia que lo acompaña. Sin duda vale la pena el paseo por el lago en lancha rápida para aprovechar mas el tiempo dado que se tarda en moverse por las islas. Especialmente nos gusto la historia y tradiciones de isla de Amantani. Recomendable también pasar una noche con alguna familia de la isla en los lodge existente y compartir con ellos sus rutinas mas que dormir en Puno. Esta experiencia permite conocer la otra parte no tan turística de la isla compartiendo sus vivencias y tradiciones. Ojo con la altura, nosotros tomamos Sorojchi Pill y nos ayudo a no tener ningun problema."
5,28 diciembre 2017,Pacha expedition,"Agradecemos mucho l organizacio. De pacha expedition empresa la cual nos dio los servicios para visitar uros y taquile sere sincera nos encanto todo ya que nos brindaron buenos precios ennsu hotel, restaurante, y gencia de viajes las islas y el titkaka son facinantes definitivamente si vas. A. Puno no ge pierdas de viistar el titicaca"
5,17 diciembre 2017,Visita al lago,"Precioso lugar, lleno de gente maravillosa y trabajadora, la Isla de los Uros magnífica, el trabajo arduo que realizan los pobladores es admirable"
5,10 diciembre 2017,Linda experiencia,"Tienes tantas lindas vistas de la naturaleza, es un lugar muy apacible y maravilloso a la ves. Inolvidable."
5,10 diciembre 2017,Visitando a Los Uros,La visita al Lago es muy interesante y ver estas comunidades que están casi intactas con costumbres tan diferentes. Vale la pena este paseo y conocer a Los Uros de primera mano
3,9 diciembre 2017,No lo disfrute tanto,"De hecho el Lago fue el motivo del viaje pero a decir verdad me dio una pena ver que ahora es mas comercial. Hoy en día tienen mas de 50 islas, no se ve como antes la cultura viva...antes podías ver una población flotante, su iglesia, restaurantes,tiendas, hasta discotecas.Como hay tantas islas se visita de manera aleatoria y no todas tienen esas instalaciones que es curioso para la mayoría de turistas...de hecho que si hay en todas restaurantes y ventas de artesanía. De todos modos se disfruta de la naturaleza y lo relajante de la navegación."
5,6 diciembre 2017,"Uros, Amantani, Taquile","Existen Tours de 2 dias saliendo del puerto de Puno aproximadamente 7am, visitando las islas artificiales de los Uros, luego Amantani y durmiendo en Taquile. Al dia siguiente se termina de visitar taquile y la partida rumbo al puerto de Puno, es a las 4pm"
5,28 noviembre 2017,Titicaca,"El lago Titicaca es el lago navegable más alto del mundo, ubicado en el Altiplano andino en los Andes Centrales, dentro de la meseta del Collao una altitud promedio de 3812 msnm entre los territorios de Bolivia y Perú. Posee un área de 8562 km²...Más"
5,22 noviembre 2017,Una inmencidad de agua,"El lago titicaca es enorme, una gran masa de agua en lo mas alto del mundo lo mejor es que es navegable, tube la oportunidad de relizar un paseo en un bote con variso turistas , nos entregaron un chaleco salvavidas por precaucion, visitamos varias...Más"
5,20 noviembre 2017,Super recomendable,"Una excursión que vale la pena, tanto por la inmensidad del lago en si, el placer de navegarlo, y la frutilla del postre que son las islas flotantes (la isla Taquile también es recomendble hacerla). Muy pintoresco como extraño, una pasada"
5,18 noviembre 2017,Belleza incomparable,"Una belleza incomparable el lago más alto del mundo. A los pies de la ciudad de Puno con una extensión hasta Bolivia. Las islas flotantes son algo digno de ver y de admirar, tanto por las propias islas como por sus habitantes.-"
5,17 noviembre 2017,maravilloso,"un viaje asombrosamente encantador, la panorámica el recorrido la tormenta que nos cayo cuando regresabamos"
4,13 noviembre 2017,Increíbles las islas de los uros!,"Es el lago navegable más alto del mundo, lleno de leyendas. Dicen que de él nació Viracocha. es un lugar precioso. En las costas de Puno se encuentran las islas de los uros, islas artificiales totalmente hechas de juncos. No recomiendo en absoluto la excursión...Más"
5,10 noviembre 2017,Experiencia única con los Uros,"Es totalmente increible visitar islas flotantes en uno de los lagos más profundos del mundo. Conocer cómo viven, su cultura, su estilo de vida, etc. Vale totalmente la pena tomar un pequeño barco y hacer una visita obligada con los Ureños si vas de visita...Más"
5,9 noviembre 2017,Lago Titicaca y sus Islas,"Una experiencia inolvidable navegar en el Lago Titicaca visitar las Islas flotantes de los Uros y La isla de Taquile en Puno para luego navegar por el lado boliviano y visitar la Isla del Sol. Los paisajes, el azul de sus aguas es una vivencia...Más"
5,8 noviembre 2017,Precio ,"Si vistáis Perú o Bolivia os recomiendo pasar por el lago. No necesitas más de un día. Nosotros llegamos a las 5 de la mañana y nos fuimos a las 7 de la tarde. No vais a encontrar ningún problema con contratar las excursiones, la...Más"
3,8 noviembre 2017,Es el atractivo principal de la zona,El lago es la razón principal por la que uno viaja ahí. Pero es triste ver como cada vez se hace más pequeño y contaminado por el uso que le dan las mineras en especial. Son esas cosas que uno vé y no entiende a...Más
5,8 noviembre 2017,Bello bello bello,"El agua cristalina, las colinas con terraza, el cielo súper azul con nubes blancas. Si vas a Puno y no haces un recorrido por el lago visitando las islas; no se ha que vienes. Must en Puno."
5,5 noviembre 2017,Precioso,"Es la segunda vez que visito este lago y siempre me sorprende lo bonito que es. Esta vez, además, lo he rodeado por tierra hasta llegar a Bolivia. Impresionante. Eso si, esta vez no subí a la isla Taquile. La vez anterior me asustó mucho...Más"
3,4 noviembre 2017,Lago más alto del mundo y más grande ,"Lo que se realiza en este lugar es un paseo en barco, se visita a los uros que es una etnia del lugar que según dicen viven en islas flotantes. Los que yo vi y que nos explicaban el medio de vida que tenían en...Más"
5,24 octubre 2017,Inolvidable Viaje...,"Viajar por este lago es impresionante, unos paisajes hermosos, visitamos las islas de Uros, Amantani y Taquile cada una de ellas tiene su propia atracción y costumbres, la gente fue muy amable nos dieron un lindo recibimiento en cada isla estar en estos lugares es...Más"
5,23 octubre 2017,navegacion por el Titicaca,"lo recorri desde los uros,,amantani y de regreso Taquile.....todo su entorno me parecio bello.....tiene un toque magico este lago,,,,,,,"
5,15 octubre 2017,Serenidad,"Lugar mágico lleno de leyendas, mitos e historias, llegar a visitarlo es encontrarse con el pasado y origen de nuestros ancestros"
3,14 octubre 2017,el lago mas alto del mundo,"el Lago los han contaminado, y sobreexpplotan al turismo. no le importa cuidar el entorno. me decepcioné. Ojalá lo comiencen a cuidar. Hace poco estrenaron un documental sobre la contaminación del lago. Ojalá tomen conciencia"
5,9 octubre 2017,Sorprende por su inmensidad y características,"El lago Titicaca es el más alto del mundo, y realmente es basto. Comprende dos países, yo fui con mi novia en el mes de enero 2017, y el clima fue espectacular, aunque ligeramente frío. Con una casaca abrigadora, guantes y bufanda suficiente. Recomiendo llegar...Más"
4,8 octubre 2017,Un lago enorme a 3800 msnm ,"Se puede llegar por tierra desde Cusco y Arequipa, por tren desde Cusco y por avión llegando a Juliaca y luego de 40 min en auto. El cielo y el lago son muy azules. Las islas flotantes de totora están muy cerca de los muelles...Más"
5,5 octubre 2017,Inesperado e insólito!,"Después de un largo viaje de Chivay a Puño, había tomado la decisión de cancelar la vista a la Isla de los Uros. Un guía me convenció y creo que de no haberlo hecho me hubiese lamentado toda mi vida. Es una experiencia que no...Más"
4,3 octubre 2017,Paseo Obligado,"Es muy bonito ir a las islas de Totora. Aunque ya todo es creado, la gente ya no vive ahí es muy bonito."
5,1 octubre 2017,Mitico,"Visitar los lugares míticos simpre se mueve entre la emoción y la frustración cuando no encuentras lo imaginado. Este es uno de los casos emocionantes. Vistas, paz, tranquilidad, calma..."
4,29 septiembre 2017,inmenso y tranquilo,"estar en una embarcación y navegar despreocupado en un inmenso lago, que acompaña un agradable frio, a pesar del sol, el Titicaca en su mecer de la olas ayuda a un atmósfera de paz y tranquilidad"
5,28 septiembre 2017,Visita espectacular ,"Es una experiencia única e inolvidable porque nos permite navegar por el lago más alto del mundo a unos 3810 metros sobre el nivel del mar.
En el mismo nos vamos a encontrar con las islas flotantes de los Uros hechas de totora, habitadas por...Más"
4,28 septiembre 2017,Hermoso,El lago es hermoso aunque da algo de pena que no esté muy bien cuidado. El paisaje es espectacular :)
4,25 septiembre 2017,Solo verás una pequeña parte,"El lago es inmenso, un mar dentro de Bolivia y Perú, así que escoga bien el tour que prefiera porque hay muchas opciones y precios, tanto del lado peruano como boliviano. Hay que recorrerlpmcon agencias responsables. Lleva bloqueador solar, gorra, dinero y cámara."
4,24 septiembre 2017,Fascinante,"Sencillamente fascinante nos ha parecido la visita al lago, es increible el poder admirar a esta altura un lago de dimensiones similares a un mar, sencillwnte espectacular recomendable una visita de todo un dia para poder disfrutar del entorno."
5,21 septiembre 2017,Maravilla de la naturaleza,"El místico lago Titicaca, lleno de historia y leyenda. Sus alrededores son hermosos y cada rincón invita a la fotografía. Las islas de Los Uros lo mejor."
5,21 septiembre 2017,Majestuoso !!!,No pueden perder la oportunidad de visirar este maravilloso lago. La luminosidad y los colores hacen de este lugar un paisaje mágico.
5,16 septiembre 2017,El lago navegable más alto del mundo 3800 msnm.,"Hermoso lago, que tiene mucho que ofrecer a los turistas. Islas flotantes Uros, y otras islas, tanto en el lado peruano, como boliviano. Puesto que está compartido 60% Perú y 40% Bolivia.
Imperdible, sea del lado que visites, Perú o Bolivia. Ambos lugares son hermosos...Más"
5,16 septiembre 2017,Increíble ,"Que increíble que la naturaleza ofrezca maravillas cómo está a 3,800 metros sobre el nivel del mar! Navegarlo y admirarlo es una delicia. Es de las 100 cosas que hacer antes de morir. Visítenlo"
5,15 septiembre 2017,OBLIGADO SI VAS A PERÚ,"Todos estudiamos en la escuela la geografía de este lago, así que, solo ya por eso, creo que es una visita obligatoria. Pero además el paseo en barco por sus aguas es muy agradable, navegando entre juncos y zonas con aves vistosas. Su inmensidad es...Más"
4,13 septiembre 2017,Buenos paisajes.,"Vale la pena aunque sea darse la vuelta por una Isla y apreciar toda la flora y fauna del lago. Hay muchos tours y muchas posibilidades, hasta hospedajes, totalmente recomendado."
5,12 septiembre 2017,Un mar en las alturas,"Ver la grandeza del Lago Titicaca es algo que a uno le queda grabado en la memoria, desde la bahía de Puno no se aprecia su majestuosidad, por ello hay que entrar al lago en lancha y navegar por lo menos 1:30 hrs lara poder...Más"
5,11 septiembre 2017,Isla amantani imprescindible ,"Nos quedamos a dormir en casa de la Sra. Francisca, una de las pocas que tiene agua caliente y además, las mejores vistas, está en lo alto de la comunidad... no te cansas de ver el lago al amanecer ni del cielo estrellado, una pasada....Más"
5,7 septiembre 2017,Impresionante!!!,"Paseo por el lago impresionante, con paradas a las islas flotantes de los Uros, donde se unen turismo responsable con tradición aymara. Recomendado!!"
4,7 septiembre 2017,Bonito,Hay que ir ver el lago durante el día amanecer por la noche. Colores muy puros y pedir que se frene el calentamiento global
5,6 septiembre 2017,Experiencia majestuosa,"Visite las islas flotantes de puno en Perú, es un paseo muy lindo, donde se aprecia y respira aire puro y su paisaje azul, es una bendición para los ojos."
4,6 septiembre 2017,"Visita de paz, energía y gran vista","Yo tomé un tour que me llevó a Uros que son las islas artificiales donde viven muchos pobladores y hay de todo. Luego me fui a una isla natural llamada Taquile donde caminé mucho con buenas vistas, finalmente nos fuimos a otra isla más grande llamada Amantaní en donde pasamos una noche con una de las familias locales .Tour vivencial en donde te sientes en otro mundo. La vista desde arriba es espectacular!!!!!!!Mucha paz y mucha tranquilidad donde puedes recargarte de toda la energía del sol que a esta altura quema demasiado rico."
5,5 septiembre 2017,No te lo puedes perder,"Regatea con el precio de tu touroperador, piden mucho más de lo que realmente cuesta, pasa 2-3 días entre sus islas, explora, descubre, haz muchas cosas que hacer."
5,5 septiembre 2017,Recomendadísimo,"Existen en el lago un grupo de islas artificiales hechas por los miembros de la etnia uru, autodenominados kotsuña o ""pueblo del lago"". Los miembros de la etnia uru o uro se dicen a sí mismos ""gente de sangre negra"" y según sus tradiciones orales,...Más"
5,4 septiembre 2017,Maravilloso lugar,"Es el lago navegable más alto del mundo a 3827 metros de altura, gran extensión, con ciudades, pueblos e islas........Una flora y fauna autóctona. Es una gran experiencia navegarlo, lo más impresionante la Isla de los Uros, ¡¡¡¡¡imperdible!!!!"
5,3 septiembre 2017,Importante experiencia!!!!,"Navegar en el lago Titicaca y visitar las Islas de los Uros y luego la Isla de Taquile fue una experiencia muy interesante, Increibles vistas."
5,30 agosto 2017,Increíble,"Viajar por lago es una experiencia increíble, conocer las islas de totora y como las hacen es fantástico. También te muestran como viven, me sentí un poco incómoda porque las casas tienen una sola habitación y estaban los chiquitos durmiendo. Por lo demás una experiencia...Más"
5,30 agosto 2017,Un coloso calmado,Conocí el lago en Puno. Me encantó la calma y tranquilidad del lugar. Se me hizo inevitable sonreír y comprendí el porqué de la importancia mística del lugar para los incas. Quisiera ver al lago más limpio y preservado los próximos años. Ojalá lo puedan...Más
5,29 agosto 2017,"Hermoso el paseo en lacha,y la visita a la isla de Los Uros y Taquile",Llevar abrigo para primeras horas de la mañana y usar bloqueador solar. Una vez que sale el sol la temperatura aumenta notablemente.
5,29 agosto 2017,Espectacular ,"Muy bonito lugar, maravilloso y místico!
Cultura viva y los lugareños muy acogedores, la comida rica y agradable, las artesanías bonitas."
5,29 agosto 2017,Viste Unica,el lago titicaca tiene una vista impresionante y una rica historia. Recomendable para salir de la rutina.
5,27 agosto 2017,Impresionante. Una maravilla ,"Es un lago inmenso. El mas alto del planeta que sea navegable. Alberga magníficas Islas. Yo sólo vi las islas flotantes de tutora y la isla Taquile. Absolutamente recomendable. Sólo cuidado con el mal de Altura. Aclimatación previa, buena hidratación y caramelos o infusiones de...Más"
4,22 agosto 2017,Conociendo el Lago mas alto del mundo,"Asombroso su inmensidad. Nunca imagine lo grande que sería El Titicsca, y la biodiversidad que alberga. Muy satisfecha de haber navegado en sus aguas, de haber disfrutado sus vientos y hasta por qué no? Sentir sus olas. Es increible como el frío del altiplano se...Más"
5,19 agosto 2017,LUGAR EXCEPCIONAL,"No se puede creer semejante espejo de agua a tanta altura, creo que es único en el mundo, son 8500 Km cuadrados de extensión, se te pierde la vista en el horizonte tal cual el mar.
No dejes de hacer esta excursión."
4,16 agosto 2017,Hermoso paseo con increíble vista,"El paseo se contrata en algunas de las tantas agencias de turismo que hay en Puno y me inmagino que incluso en el puerto donde se inicia el tour. Importante, no olvidarse de regatear ya que se logra importante descuento; o dicho de otra manera,...Más"
5,16 agosto 2017,Buena experiencia !! ,"El tour me costó 110 soles
Uros
Amantani (todo incluido)
Taquile ( almuerzo incluido)
Bonito y barato"
5,15 agosto 2017,Igual que si fuera un mar,Muy recomendable el paseo en barco por el lago hasta las islas de los uros y la isla taquile. Recomendable ir abrigado
5,15 agosto 2017,Hermosos paisajes,"Dar un paseo en lancha por el lago es espectacular, se complementa con la visita de los Uros o alguna isla. Las vistas son maravillosas."
5,12 agosto 2017,Imprescindible,El lago navegable más alto del mundo. Visita imprescindible de alguno de los pobladores que muy agradables te dan una excelente explicación y te hacen un espectáculo para turistas.
5,11 agosto 2017,Interesante,"El Lago Titicaca es un el lago navegable más alto del mundo y considerado como uno de los atractivos más populares del Perú y Bolivia. Está ubicado en el altiplano andino, en los Andes Centrales a una altitud de 3,812 metros sobre el nivel del...Más"
4,8 agosto 2017,Increible e inmenso.,"A manera que vas llegando a sus orillas, una sensación de humildad de estar ante una maravilla de la naturaleza,algo tan vasto, genera excitación y alegra el corazón, llegas a este lago y agradeces de haber tenido la oportunidad en la vida de haber llegado...Más"
5,7 agosto 2017,azul profundo!!!!!!!!!!,"el lago mas alto del mundo, de una belleza increíble,sus aguas calmas y azules como pocas veces he visto. con sus islas tan particulares. fuimos desde Cusco A Puno . y allí un paseo en lacha por el lago Titicaca y las islas de los...Más"
5,7 agosto 2017,"Muy bonito, interesante visitar las islas flotantes de los Uros","Muy bonito el lago más alto del mundo, el Titicaca o ""puma de piedra"". Verás montones de embarcaciones turísticas recorriéndolo. Una de las opciones para mi más recomendable es la de acercarse hasta las islas flotantes de los Uros y conocer el singular estilo de...Más"
5,7 agosto 2017,Imperdible,"Lugar mágico!!! Inmenso, majestuoso. Las islas de los Uros y Taquile son hermosas. Merecen especial mención la sopa de quinua y la trucha que comí en Taquile"
5,6 agosto 2017,Hermoso lugar!,"El Lago Titicaca es el Lago navegable más alto del mundo (3800 msnm aprox) y en él, se pueden realizar muchas actividades como kayak, paseos en bote, pesca y hay varias islas que se pueden visitar. Muy recomendable siempre y cuando se colabore con su...Más"
4,6 agosto 2017,Vistas muy bonitas,"Lago situado en el altiplano peruano y boliviano. Tiene unas vistas excelentes y parece que el agua es limpia, aunque cuando te acercas y observas la presión del ser humano hace que no sea así (se observan multitud de restos en la superficie). Las autoridades...Más"
5,6 agosto 2017,Lago mítico a 4000 m de altitud snm,"Llegábamos desde el Cañón del Colca un poco afectados del mal de altura o Soroche y fue empezar a navegar por las azules aguas del Titicaca, olvidarnos por completo de ello y empezar a disfrutar de su contemplación... A esa altitud (3810 m) rodeados de...Más"
5,5 agosto 2017,Una maravilla,"Una maravilla natural en el altiplano del Perú, el agua limpia y cristalina como el cielo, la gente de las islas muy amigables y calidos."
5,4 agosto 2017,Experiencia imperdible,"¡Un lugar fantástico lleno de historia, curiosidades y belleza natural! Sin duda alguna vale la pena conocer esta maravilla sudamericana y enriquecerse de toda la cultura que en ella se encierra."
3,3 agosto 2017,Muy lindo el lago. La excursión poco segura,"Al llegar a Puno recibimos ofertas para hacer excursión a los Uros e isla Taquile. Variaba mucho el precio, uno pedía descuento y te lo hacían. Nos fueron a buscar al hotel. La embarcación muy usada y las medidas de seguridad relativas. No hay que...Más"
5,3 agosto 2017,Enorme e imponente,"Navegar este lago es aquietar el interior de uno. Realmente es lejos Puno de Cusco, pero con paciencia luego de siete horas de Bus, se llega. Se pueden visitar algunas islas. En mi caso fueron Uros y Taquile y tanto una como la otra fue...Más"
4,1 agosto 2017,Hermosa e interesante experiencia,"Teníamos poco tiempo, así que reservamos una excursión de un solo día, para ver las islas de los Uros y la Isla Taquile.
Las Uros son muy bonitas, muy diferentes, aunque tienen un aire 'superturístico' que da algo de pena, aunque se entiende. En algunas...Más"
5,31 julio 2017,Hermosisimo,"Navegar por el lago titicaca, sus islas y conocer las disferentes culturas que lo habitan fue increible. A toda hora el paisaje es bellisimo y muy relajante."
4,31 julio 2017,visitando las islas flotantes,"Es visita obligada a las islas flotantes de los UROS, hicimos una parada en una de ellas y una de las familias que vive allí nos explico su forma de vida, sus costumbres y la forma de gobierno que tienen para todas las islas y...Más"
5,31 julio 2017,Hermoso!,"Desde el amanecer hasta que se pone el sol es hermoso! Frío y altura, así que vayan despacio, pero se tiene que visitar SI o SI."
5,30 julio 2017,Increible,Un viaje que todxs deberíamos poder hacer en algún momento de nuestras vidas. La energía del lago titicaca se traduce en toda sus islas.
5,29 julio 2017,Good place,Uros Taquile Amantani Chucuito Sillustani etc. Cualquier de estos lugares 100% recomendable ... ....
4,24 julio 2017,Lago imperial,El lago en sí es maravilloso.. Tan grande y con todo su cabal dividido entre Perú y Bolivia. Se hacen tours por la zona para después ir a taquile o a la isla de los uros.
5,24 julio 2017,Paradisíaco en algunos puntos,No hay mucho para decir desde este sitio geográfico. 3800 metros sobre el nivel del mar. Pertenece a Perú en su mayor parte. Amplia acumulación de agua de tiempos remotos y con evaporación y extracción de la misma que ha hecho bajar su nivel. Leyendas...Más
4,24 julio 2017,Visita en pareja,Paseo en barca hacia la isla de Huros y más tarde a la isla de Taquile. Vistas bonitas y bantante turismo.
